individual,Dnov1a,Dnov1b,Dnov6a,Dnov6b,Dnov7a,Dnov7b,Dnov24a,Dnov24b,Dnov51a,Dnov51b,Age class
403,228,228,142,142,215,217,253,261,213,213,Adult
404,228,240,134,142,217,217,253,265,213,213,Adult
405,224,228,142,142,211,217,261,261,213,213,Juvenile
406,224,228,142,142,211,217,261,261,213,213,Juvenile
407,224,228,142,142,0,0,253,261,213,213,Juvenile
408,224,240,138,142,215,217,253,253,213,213,Adult
409,240,240,142,142,217,217,253,253,213,213,Juvenile
411,220,240,134,142,0,0,261,265,213,213,Adult
412,0,0,134,142,0,0,261,265,213,213,Juvenile
413,228,240,134,142,215,217,265,265,213,213,Adult
414,240,240,134,148,217,217,253,261,213,213,Juvenile
415,240,240,134,148,217,217,253,261,213,213,Juvenile
416,228,236,138,142,217,217,253,265,213,213,Yearling
417,220,228,142,146,215,215,261,261,213,213,Adult
418,228,228,142,142,211,215,261,261,213,213,Adult
419,228,236,142,154,215,215,253,261,209,213,Adult
420,228,228,138,146,217,217,261,265,213,213,Adult
422,224,240,142,154,211,217,0,0,213,213,Juvenile
423,224,240,134,154,211,211,261,265,213,213,Adult
424,224,240,134,146,217,217,261,261,213,213,Adult
425,228,228,142,142,211,217,261,265,209,213,Adult
426,228,240,142,142,217,217,253,261,213,213,Juvenile
427,224,228,134,142,217,217,253,253,209,213,Adult
428,220,228,134,146,215,215,261,261,213,213,Adult
429,228,240,134,142,215,215,253,269,213,213,Adult
430,240,240,134,142,215,217,265,265,209,213,Adult
431,240,240,134,142,211,211,253,265,209,213,Adult
432,224,228,142,142,217,217,253,261,213,213,Juvenile
433,224,228,142,142,217,217,261,261,213,213,Juvenile
434,240,240,134,146,217,217,253,261,213,213,Adult
435,228,236,142,142,211,217,253,253,213,213,Adult
436,228,240,134,142,215,217,261,265,209,213,Juvenile
437,236,240,134,142,217,217,261,261,0,0,Adult
438,224,228,142,154,215,217,253,261,213,213,Adult
439,240,240,134,138,211,217,261,261,209,213,Adult
440,236,240,138,142,215,217,261,261,213,213,Adult
441,228,236,142,154,215,215,253,261,209,213,Adult
442,228,240,134,134,217,217,253,253,209,213,Juvenile
443,228,240,134,134,217,217,253,253,209,213,Juvenile
444,228,240,134,134,217,217,253,253,209,213,Juvenile
445,224,224,142,142,217,217,261,269,213,213,Adult
446,228,228,134,142,217,217,253,261,213,213,Adult
447,224,240,134,138,211,217,261,265,213,213,Adult
448,224,240,142,142,211,217,253,253,213,213,Adult
449,228,228,142,142,217,217,253,253,213,213,Adult
450,228,240,134,138,215,217,261,265,213,213,Adult
451,228,240,134,142,217,217,261,261,209,213,Juvenile
452,228,228,142,158,217,217,253,261,213,213,Adult
453,228,228,134,134,217,217,261,261,213,213,Adult
454,224,236,142,142,215,217,253,253,209,213,Juvenile
455,228,228,142,142,211,217,261,261,213,213,Adult
456,228,236,134,142,211,217,261,261,213,213,Adult
457,224,228,154,154,211,217,261,269,213,213,Juvenile
458,228,240,142,146,215,217,253,253,209,213,Juvenile
459,228,240,142,146,215,217,253,253,213,213,Adult
460,228,240,142,142,217,217,253,261,213,213,Juvenile
461,228,240,134,142,211,217,261,261,213,213,Adult
462,220,224,134,142,217,217,261,265,213,213,Adult
463,228,228,134,146,217,217,253,261,213,213,Juvenile
464,224,228,138,146,215,217,261,261,213,213,Adult
465,220,224,142,142,215,217,261,269,213,213,Adult
466,224,240,142,154,211,217,261,269,213,213,Juvenile
467,224,240,134,146,217,217,261,261,213,213,Adult
468,224,240,134,142,0,0,253,261,213,213,Juvenile
469,228,228,134,142,217,217,261,265,213,213,Adult
470,224,240,138,146,0,0,261,265,213,213,Juvenile
471,228,240,134,158,0,0,261,265,0,0,Adult
472,240,240,142,142,211,217,253,265,213,213,Adult
473,224,240,142,154,211,217,253,269,213,213,Adult
474,224,240,138,146,215,217,261,265,213,213,Juvenile
475,224,240,134,142,211,217,261,265,213,213,Adult
477,240,240,142,142,217,217,253,253,209,213,Adult
478,240,240,142,142,217,217,253,253,213,213,Juvenile
479,224,228,134,134,215,217,253,261,213,213,Adult
480,228,240,142,146,215,217,253,253,213,213,Adult
481,228,228,134,142,211,217,261,261,213,213,Juvenile
482,228,228,142,142,211,217,253,253,213,213,Adult
483,228,240,134,146,0,0,253,253,213,213,Adult
484,228,240,134,142,211,217,257,265,209,213,Adult
485,228,240,134,142,0,0,261,265,213,213,Juvenile
486,240,240,134,138,217,217,253,261,213,213,Juvenile
487,224,240,142,142,217,217,253,261,209,213,Adult
488,232,240,134,154,215,217,253,265,213,213,Adult
489,236,236,134,154,215,215,253,253,213,213,Adult
490,228,240,134,142,217,217,253,261,213,213,Adult
491,236,240,134,154,211,217,261,269,213,213,Juvenile
492,228,240,134,146,217,217,261,265,213,213,Juvenile
493,228,228,134,142,217,217,253,261,213,213,Juvenile
494,224,228,142,142,217,217,253,261,213,213,Juvenile
495,228,228,134,142,217,217,261,261,209,213,Juvenile
496,224,228,142,142,217,217,0,0,213,213,Juvenile
497,224,228,142,142,217,217,253,265,213,213,Juvenile
498,228,228,142,142,211,217,253,265,213,213,Adult
499,228,240,134,142,217,217,261,265,213,213,Juvenile
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
